iter	Passed	Remaining
0	38	38868
1	69	34777
2	98	32579
3	124	31064
4	163	32554
5	190	31541
6	220	31213
7	251	31149
8	285	31431
9	311	30792
10	345	31043
11	377	31064
12	411	31209
13	446	31422
14	477	31350
15	509	31338
16	535	30991
17	567	30975
18	599	30941
19	632	30987
20	658	30712
21	684	30447
22	724	30788
23	753	30661
24	782	30524
25	814	30498
26	843	30381
27	870	30201
28	903	30256
29	931	30129
30	959	30005
31	993	30065
32	1025	30053
33	1059	30102
34	1088	30021
35	1122	30069
36	1148	29900
37	1178	29832
38	1205	29707
39	1240	29764
40	1270	29708
41	1290	29432
42	1321	29403
43	1345	29233
44	1374	29169
45	1404	29129
46	1435	29110
47	1464	29042
48	1493	28989
49	1522	28935
50	1551	28879
51	1580	28816
52	1604	28672
53	1636	28668
54	1661	28552
55	1681	28347
56	1709	28273
57	1735	28187
58	1765	28161
59	1796	28141
60	1821	28037
61	1849	27976
62	1874	27872
63	1901	27803
64	1928	27743
65	1955	27670
66	1984	27632
67	2011	27569
68	2042	27556
69	2067	27467
70	2099	27465
71	2115	27265
72	2144	27234
73	2171	27173
74	2197	27096
75	2226	27068
76	2254	27021
77	2282	26974
78	2308	26918
79	2333	26836
80	2360	26784
81	2385	26707
82	2411	26645
83	2436	26571
84	2461	26501
85	2488	26444
86	2512	26369
87	2541	26343
88	2567	26277
89	2595	26241
90	2623	26207
91	2650	26154
92	2672	26066
93	2700	26029
94	2727	25986
95	2756	25955
96	2782	25902
97	2807	25842
98	2838	25829
99	2866	25799
100	2892	25743
101	2919	25701
102	2948	25677
103	2973	25621
104	3003	25604
105	3030	25557
106	3054	25490
107	3086	25494
108	3110	25427
109	3135	25367
110	3161	25324
111	3184	25244
112	3213	25226
113	3237	25163
114	3262	25109
115	3291	25083
116	3321	25064
117	3351	25052
118	3382	25045
119	3409	25002
120	3434	24952
121	3459	24899
122	3490	24884
123	3517	24847
124	3543	24803
125	3568	24756
126	3600	24747
127	3632	24744
128	3656	24687
129	3684	24654
130	3713	24631
131	3742	24610
132	3768	24564
133	3794	24522
134	3822	24491
135	3846	24438
136	3870	24380
137	3895	24333
138	3918	24270
139	3944	24232
140	3970	24190
141	3996	24146
142	4023	24115
143	4047	24062
144	4075	24032
145	4102	23995
146	4128	23954
147	4152	23904
148	4178	23866
149	4202	23816
150	4228	23774
151	4254	23734
152	4283	23714
153	4311	23683
154	4338	23651
155	4365	23618
156	4393	23588
157	4422	23569
158	4448	23527
159	4474	23492
160	4499	23446
161	4522	23391
162	4549	23360
163	4575	23322
164	4601	23286
165	4625	23239
166	4650	23195
167	4677	23163
168	4702	23124
169	4729	23090
170	4749	23024
171	4770	22964
172	4794	22919
173	4822	22891
174	4847	22850
175	4875	22825
176	4900	22786
177	4925	22747
178	4951	22711
179	4978	22677
180	5005	22649
181	5033	22623
182	5058	22583
183	5086	22556
184	5108	22505
185	5132	22461
186	5156	22416
187	5180	22377
188	5207	22345
189	5233	22311
190	5261	22284
191	5284	22240
192	5310	22205
193	5333	22157
194	5357	22115
195	5382	22079
196	5409	22050
197	5434	22013
198	5460	21980
199	5484	21937
200	5509	21901
201	5528	21842
202	5552	21799
203	5576	21760
204	5601	21722
205	5624	21679
206	5648	21639
207	5673	21601
208	5694	21551
209	5718	21514
210	5742	21474
211	5767	21439
212	5791	21398
213	5814	21356
214	5835	21307
215	5860	21270
216	5882	21225
217	5902	21172
218	5925	21131
219	5945	21077
220	5965	21029
221	5986	20980
222	6008	20936
223	6033	20903
224	6057	20864
225	6081	20829
226	6105	20792
227	6129	20754
228	6154	20722
229	6180	20690
230	6205	20656
231	6231	20627
232	6258	20600
233	6278	20552
234	6300	20511
235	6323	20470
236	6349	20441
237	6372	20402
238	6396	20365
239	6419	20329
240	6442	20291
241	6466	20255
242	6489	20215
243	6514	20184
244	6538	20150
245	6563	20117
246	6585	20077
247	6610	20043
248	6634	20010
249	6658	19976
250	6680	19935
251	6704	19901
252	6727	19862
253	6750	19826
254	6774	19791
255	6797	19755
256	6831	19751
257	6856	19718
258	6881	19687
259	6905	19655
260	6928	19616
261	6947	19570
262	6970	19532
263	6993	19495
264	7015	19457
265	7038	19422
266	7060	19382
267	7082	19345
268	7105	19310
269	7128	19273
270	7151	19237
271	7173	19199
272	7195	19161
273	7218	19126
274	7241	19090
275	7263	19053
276	7287	19021
277	7308	18981
278	7332	18948
279	7356	18916
280	7380	18885
281	7402	18846
282	7424	18811
283	7448	18778
284	7471	18745
285	7494	18710
286	7516	18672
287	7537	18634
288	7559	18598
289	7581	18560
290	7603	18526
291	7624	18487
292	7648	18455
293	7671	18422
294	7699	18400
295	7722	18367
